what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.team.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.team.ui",1263451327531
os,sysinfo,,,"linux",1263451327534
arch,sysinfo,,,"x86_64",1263451327534
ws,sysinfo,,,"gtk",1263451327534
locale,sysinfo,,,"en_US",1263451327534
processors,sysinfo,,,"2",1263451327534
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1263451327534
java.runtime.version,sysinfo,,,"1.6.0_15-b03",1263451327534
java.specification.name,sysinfo,,,"Java Platform API Specification",1263451327534
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1263451327534
java.specification.version,sysinfo,,,"1.6",1263451327534
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1263451327534
java.version,sysinfo,,,"1.6.0_15",1263451327534
java.vm.info,sysinfo,,,"mixed mode",1263451327534
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1263451327534
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1263451327534
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1263451327534
java.vm.specification.version,sysinfo,,,"1.0",1263451327534
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1263451327534
java.vm.version,sysinfo,,,"14.1-b02",1263451327534
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1263451327978
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1263451328009
closed,view,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.internal.introview",1263451328032
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1263451331173
closed,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1263451331173
