what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263451028594
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263451037605
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263451039063
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263451053521
started,bundle,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui",1263451058453
started,bundle,org.eclipse.jdt.junit,3.5.1.r351_v20090708-0800,"org.eclipse.jdt.junit",1263451060379
started,bundle,org.eclipse.jdt.debug,3.5.0.v20090526,"org.eclipse.jdt.debug",1263451060573
started,bundle,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui",1263451060742
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263451060998
opened,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1263451062863
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1263451062890
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263451062923
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1263451074050
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263451074876
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263451075584
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263451076001
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263451080335
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1263451080366
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263451085388
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263451086039
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263451086936
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263451105348
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263451107596
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263451110571
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1263451110592
